Red,Green,Blue,Output
1,1,1,1
0.5944577149116456,0.1194024351626275,0.8067794267806574,0
0.42298615264291106,0.10636087756438362,0.5741842771918334,0
0.6623275752894014,0.5013454372702326,0.14140509798758416,1
0.37103415283815355,0.4170719356890278,0.959620439883328,0
0.06055391952420108,0.4910694741119408,0.14650706658345147,0
0.37966343361736254,0.5218062150991356,0.7046079529316808,1
0.24227681166941406,0.7976400574680184,0.9574067971376267,1
0.7057351433314526,0.9145322143047361,0.04705019551340317,1
0.05720579210535848,0.6267232057752774,0.9797272173564502,1
0.6095193140004382,0.3874749208282501,0.6217971556301318,0
0.6704323257019219,0.29551789291729,0.3517896569118619,0
0.9055005252677257,0.29974129526019366,0.2521281874032135,0
0.007205534871597363,0.8194521742825487,0.8130624442632877,1
0.21012704090203482,0.4153278181521628,0.8541993541065481,0
0.19922553672534615,0.5012486721999372,0.06729395437717356,0
0.9432087091168797,0.6363217588734141,0.6964496819063862,1
0.6849085066432492,0.26023798763342665,0.7920629348857354,0
0.12824478238248005,0.6518299882516474,0.4678368885476254,1
0.5633288695509608,0.05258038433591816,0.8979652265238066,0
0.07270986548254277,0.41006808324003197,0.6872115132513505,0
0.6015422879881365,0.15859409610965103,0.7257871647629397,0
0.39129611043646384,0.42277271861772325,0.8995646746897799,0
0.5415946073679326,0.43209947417238503,0.6799495661728441,0
0.9514719662517751,0.4377683420493875,0.07556786886084133,1
0.46283663624437676,0.8229809198953764,0.602598252909185,1
0.04063368411251589,0.2813300210918087,0.586012914971436,0
0.6355466557779934,0.8043197017261682,0.017450603155886535,1
0.1276910071290951,0.3800306130586407,0.30956860968560296,0
0.28787116224918174,0.26761299487709345,0.7058285081209125,0
0.318311381614539,0.9401292451398244,0.4948173708613376,1
0.23597748566160992,0.8366611532520326,0.4868253118977738,1
0.1392995473810773,0.8671252790026833,0.24311369625622103,1
0.17656005159875454,0.5054747173654598,0.18951039719970542,0
0.3613330406226044,0.4492244423880122,0.5281227337417433,0
0.9462442390991737,0.20296940193083235,0.7992673657549296,0
0.9497176290742805,0.140297731563085,0.8406367991232817,0
0.1690259668528603,0.2811068917983015,0.4283270734315753,0
0.6545095827000051,0.8197174735183475,0.731808789390299,1
0.4793846435241673,0.6825364195258129,0.3542700950565273,1
0.7521087633133104,0.3974195083217381,0.4693665838938107,0
0.49911374115646545,0.16276853578271677,0.7807224723220233,0
0.194599527403989,0.9615962300993414,0.9599557523119481,1
0.2222323632421046,0.30342106871333174,0.5899086487578078,0
0.938496723320367,0.37900437372837703,0.6406204055951675,1
0.9428064907016622,0.32480922448925964,0.9643217911622098,1
0.7286247648673958,0.3221722324354134,0.7107297729984924,0
0.44203561308471795,0.9272199795187243,0.8074292439257281,1
0.9913951241722696,0.252250035221093,0.30518571921427307,0
0.17514029330902425,0.9485914674722727,0.6711746349721337,1
0.9963756131666579,0.6577847538113969,0.06740767584750484,1
0.4744833453904368,0.2174044418909611,0.7256714702037917,0
