Red,Green,Blue,Output
1,1,1,1
0.764211972055491,0.26975403742044146,0.5323132345948933,1
0.20054662139651658,0.9127737668922915,0.9055478857719548,0
0.04578554898566134,0.2637543305399326,0.7458801226678609,1
0.21202859804071528,0.6649017494659859,0.6483193903851379,0
0.12545802435716968,0.34350953348298274,0.8947903602365359,1
0.844042947027767,0.3663056347393443,0.7788003992940447,0
0.6356429122978489,0.8592852047225343,0.044932180440721003,1
0.11489782346171906,0.13341429308302377,0.705446785240776,1
0.020531008017479424,0.008965695077504554,0.20011367843963268,0
0.8837473184329248,0.24973904290783833,0.24573837371188278,0
0.037406329336864275,0.5862917459688728,0.9129837109890271,0
0.32996084347192367,0.45545658904586506,0.7744544626369274,1
0.8620225705521125,0.8762410854660603,0.08510138523340927,0
0.5249884668696689,0.4151306123988454,0.8339889317874267,1
0.3663630346056519,0.8269478510976938,0.12009913510288572,0
0.6109836480554924,0.6739745355996871,0.8163807243668044,1
0.10266118042629091,0.7927536965723783,0.840934637932141,1
0.8060560021244161,0.030287041733069175,0.964273959055441,1
0.49119014136630246,0.9326205726910501,0.10233504013094752,0
0.3189217622097609,0.02602282783335208,0.6068601367709461,1
